pl_name,Star's name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth's received flux)
TOI-5386 A b,TOI-5386 A,2,1,Transit,2025.0,3.62156552,0.00991414,0.04856,0.072,14.70618268,155.1002626,0.268697894,6094.0,1.245,1.165,394.486,1487.850397,1.917954731,813.3566021
TOI-5388.01,TOI-5388,1,1,Transit,2024.0,2.5946748,0.0,,,0.99,2.2,12.49305626,3440.0,0.3,0.292,18.5226,,0.011307488,
TOI-5398 b,TOI-5398,1,2,Transit,2022.0,10.590547,0.028658061,0.098,0.13,10.3,58.7,0.295990673,6000.0,1.051,1.146,130.855,947.4385447,1.284399961,133.7359393
TOI-5398 c,TOI-5398,1,2,Transit,2023.0,4.77271,0.012712178,0.057,0.14,3.52,11.8,1.490752738,6000.0,1.051,1.146,130.855,1242.300498,1.284399961,395.3216253
TOI-540 b,TOI-540,1,1,Transit,2020.0,1.2391491,0.003391885,0.01223,0.0,0.903,,0.0,3216.0,0.1895,0.159,14.0022,610.4061454,0.003446454,23.04196565
TOI-5422 b,TOI-5422,1,1,Transit,2026.0,5.377219,0.014916172,0.0619,0.094,9.10169233,8899.195396,65.03331455,5820.0,1.474,1.066,346.141,1369.423829,2.236540442,583.7077473
TOI-544 b,TOI-544,1,2,Transit,2022.0,1.548352,0.00424873,0.0225,0.0,2.018,2.89,1.937697397,4169.0,0.623,0.631,41.1166,1057.781916,0.105194619,207.7918394
TOI-544 c,TOI-544,1,2,Radial Velocity,2023.0,50.089,0.0,,0.32,,21.5,,4169.0,0.623,0.631,41.1166,,0.105194619,
TOI-5489 b,TOI-5489,1,2,Transit,2025.0,3.15222,0.0,,,1.4,,0.0,3547.0,0.42,0.41,45.0907,,0.025051468,
TOI-5489 c,TOI-5489,1,2,Transit,2025.0,4.92126,0.0,,,1.28,,0.0,3547.0,0.42,0.41,45.0907,,0.025051468,
TOI-5542 b,TOI-5542,1,1,Transit,2022.0,75.12375,0.202773932,0.332,0.018,11.30986153,419.5334972,1.597888157,5700.0,1.058,0.89,348.849,490.636808,1.060133621,9.617992645
TOI-5573 b,TOI-5573,1,1,Transit,2025.0,8.79758977,0.024147639,0.0712,0.072,9.75,112.0,0.665818372,3790.0,0.594,0.619,186.562,527.8419641,0.065316,12.88426333
