pl_name,sy_plx
GJ 96 b,83.7829
GJ 9689 b,32.6292
GJ 9714 b,48.7229
GJ 9773 b,62.781
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 b,33.6855
GJ 9827 c,33.6855
GJ 9827 c,33.6855
GJ 9827 c,33.6855
GJ 9827 c,33.6855
GJ 9827 c,33.6855
GJ 9827 c,33.6855
GJ 9827 c,33.6855
GJ 9827 c,33.6855
GJ 9827 d,33.6855
GJ 9827 d,33.6855
GJ 9827 d,33.6855
GJ 9827 d,33.6855
GJ 9827 d,33.6855
GJ 9827 d,33.6855
GJ 9827 d,33.6855
GJ 9827 d,33.6855
GPX-1 b,1.49895
GPX-1 b,1.49895
GPX-1 b,1.49895
GQ Lup b,6.58678
GQ Lup b,6.58678
GSC 06214-00210 b,9.18797
GSC 06214-00210 b,9.18797
GSC 06214-00210 b,9.18797
GSC 06214-00210 b,9.18797
GU Psc b,21.0019
Gaia-1 b,2.72112
Gaia-1 b,2.72112
Gaia-2 b,4.75066
Gaia-2 b,4.75066
Gaia-4 b,13.5797
Gaia-5 b,24.2541
Gl 378 b,66.8407
Gl 410 b,83.7765
Gl 49 b,101.465
Gl 686 b,122.561
Gl 686 b,122.561
Gl 686 b,122.561
Gl 725 A b,283.949
Gliese 12 b,81.8711
Gliese 12 b,81.8711
Gliese 12 b,81.8711
Gliese 12 b,81.8711
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-1 b,6.26153
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
HAT-P-11 b,26.4508
