pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,sy_snum,P_ESI
GJ 229 A c,2.87,8.581366989999992,616.4,0.38400000000000034,0.366,3564.0,3.0,0.56015989
GJ 229 b,3.97,14.937935130000028,547.5999999999999,1.0860000000000003,0.4040000000000001,3564.0,3.0,0.20674238
GJ 251 b,1.79,3.8500000000000227,336.0,0.08079999999999998,0.0,3342.0,1.0,0.62909696
GJ 27.1 b,3.66,13.0,523.88,0.10099999999999998,0.08,3542.0,1.0,0.49134819
GJ 273 b,1.5099999999999998,2.8899999999999864,678.2,0.0911010000000001,0.1,3382.0,1.0,0.85463759
GJ 273 c,1.0599999999999996,1.1800000000000068,599.0,0.03646700000000003,0.16999999999999998,3382.0,1.0,0.47597106
GJ 3021 b,13.1,1071.04,350.0,0.4900000000000002,0.511,5540.0,2.0,0.28902954
GJ 3082 b,2.79,8.199999999999989,736.3240000000001,0.07899999999999974,0.22,3910.0,1.0,0.40317601
GJ 3090 b,2.18,4.519999999999982,723.0,0.03160000000000007,0.25,3707.0,1.0,0.27533568
GJ 3138 b,1.1799999999999997,1.7799999999999727,737.8,0.019700000000000273,0.19,3717.0,1.0,0.30232551
GJ 3138 c,1.88,4.180000000000007,410.65200000000004,0.057000000000000384,0.11,3717.0,1.0,0.35062972
GJ 3138 d,3.23,10.5,619.4259999999999,0.6980000000000004,0.32000000000000006,3717.0,1.0,0.30923984
GJ 317 b,13.3,794.5,766.8199999999999,1.138,0.0826,3496.0,1.0,0.083619689
GJ 317 c,13.599999999999998,454.49462201,851.154,5.04,0.217,3496.0,1.0,0.067230839
GJ 3222 b,3.4,11.441822650000006,657.072,0.09100000000000019,0.929,5257.46,2.0,0.20129518
GJ 328 b,13.3,797.74930157,895.8,4.11,0.22699999999999998,3897.0,1.0,0.072686782
GJ 328 c,4.91,21.399999999999977,718.76,0.657,0.14940000000000003,3897.0,1.0,0.33072342
GJ 3293 b,5.19,23.54000000000002,622.1199999999999,0.14339000000000013,0.06,3466.0,1.0,0.520749
GJ 3293 c,4.87,21.089999999999975,528.0799999999999,0.3617499999999998,0.11,3466.0,1.0,0.31442271
GJ 3293 d,2.67,7.600000000000023,448.52,0.19393999999999956,0.12,3466.0,1.0,0.6297766
GJ 3293 e,1.63,3.2799999999999727,577.44,0.08208000000000037,0.21,3466.0,1.0,0.58304096
GJ 3323 b,1.2299999999999995,2.019999999999982,370.1,0.03282000000000007,0.23,3159.0,1.0,0.68021567
GJ 3323 c,1.3200000000000003,2.3100000000000023,370.1,0.1264000000000003,0.16999999999999998,3159.0,1.0,0.49034681
GJ 3341 b,2.46,6.600000000000023,460.12,0.08900000000000041,0.31,3526.0,1.0,0.48858245
GJ 338 B b,3.25,10.600000000000023,391.0,0.14200000000000035,0.109,4014.0,2.0,0.43616595
GJ 3470 b,4.57,13.899999999999977,593.5,0.035499999999999865,0.017,3600.0,1.0,0.20910414
GJ 3473 b,1.2640000000000002,1.8600000000000136,773.0,0.015889999999999738,0.0,3347.0,2.0,0.31135508
GJ 3473 c,2.6300000000000003,7.410000000000025,329.1,0.08760000000000012,0.0,3347.0,2.0,0.60886327
GJ 3512 b,14.3,146.51889563,985.954,0.3376000000000001,0.4279,3141.0,1.0,0.079154938
GJ 3512 c,14.3,143.97626837,695.36,1.7309999999999999,0.089,3141.0,1.0,0.092750222
