pl_name,star_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth received flux),sy_plx
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,260.58,0.713429158,0.802,0.063,22.41435776,48.5,0.023730913,5198,0.98,1.015,12.5855,277.0598581,0.629052803,0.977998898,79.4274
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,919.86,2.518439425,2.028,0.042,333.7892047,597.8352336,8.86E-05,4941,4.94,1.32,54.6599,371.8397648,13.04977919,3.17297947,18.2668
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,919.86,2.518439425,2.028,0.042,333.7892047,597.8352336,8.86E-05,4941,4.94,1.32,54.6599,371.8397648,13.04977919,3.17297947,18.2668
